serial,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
541,Galaxy Z Flip 5G SM-F707 8/256GB Mystic Bronze,0,696,22434,21930,24530,13,6.7,256,3300,Oct-20
542,Galaxy Z Flip SM-F700 8/256GB Mirror Purple (SM-F700FZPD),0,1029,35015,24588,41999,16,6.7,256,3300,Feb-20
543,Galaxy Z Fold2 12/256GB Mystic Black (SM-F916BZKQ),0,1099,51460,44809,59999,33,7.6,256,4500,Aug-20
544,Grace A1 1281 Dual Sim Red (PFP1281DUORED),7,207,460,399,599,6,2.8,0.032,950,Sep-17
545,H791 Nexus 5X 32GB (Mint),0,191,4189,,,1,5.2,32,2700,Sep-15
546,H791 Nexus 5X 32GB (Mint),0,225,4189,,,1,5.2,32,2700,Sep-15
547,H990 V20 Dual 64GB (Black),0,880,3299,,,1,5.7,64,3200,Nov-16
548,H990 V20 Dual 64GB (Silver),0,630,3299,,,1,5.7,64,3200,Nov-16
549,Hammer Energy Black,0,4,5600,,,1,5,16,5000,Jan-17
550,K10 Note 4/64GB Black,0,960,4630,4377,5026,10,6.39,64,4050,Jun-20
551,K10 Note 6/128GB Louise Lake,0,436,5249,,,1,6.39,128,4050,Aug-20
552,K12 6/64 Black,0,504,5101,4999,5185,7,6.3,64,10000,Jul-19
553,K12 6/64 Black,0,509,5101,4999,5185,7,6.3,64,10000,Jul-19
554,K13 4/64GB Black,0,328,5039,4880,5299,6,6.41,64,11000,Mar-20
555,K13 4/64GB Black,0,290,5039,4880,5299,6,6.41,64,11000,Mar-20
556,K13 4/64GB Pro Black,0,506,5146,4982,5399,9,6.41,64,11000,Mar-20
557,K13 Pro Leather Black,0,469,5331,4899,5631,5,6.41,64,11000,Mar-20
558,K5 Pro 4/64GB Black,0,731,3786,3639,3933,2,5.99,64,4050,Feb-19
559,K9 4/64 Black,0,467,5467,5199,5972,4,7.12,64,6000,Jul-19
560,KEYone,0,916,5674,5499,5849,2,4.5,32,3505,Sep-17
561,King Kong CS,0,115,2500,2399,2651,5,5,16,4400,Dec-20
562,King Kong CS,0,124,2500,2399,2651,5,5,16,4400,Dec-20
563,King Kong CS,0,165,2500,2399,2651,5,5,16,4400,Dec-20
564,Kingkong mini 3/32GB Red,0,811,3046,2889,3349,4,4,32,2000,Aug-20
565,Kingkong mini 3/32GB Yellow,0,749,3046,2889,3349,4,4,32,2000,Aug-20
566,Lumia 925 (Black),6,199,2600,,,1,4.5,16,2000,Jul-13
567,Lumia 925 (White),6,178,2600,,,1,4.5,16,2000,Jul-13
568,Lumia 925 (White),6,214,2600,,,1,4.5,16,2000,Jul-13
569,M1 Art (Red),7,6,610,,,1,1.77,0,650,Oct-15
570,M10 2/32GB Black,0,120,3190,2950,3499,15,6.5,32,4000,Oct-19
571,M10 2/32GB Red,0,232,3312,3099,3499,7,6.5,32,4000,Oct-19
